epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,743.268,1.99773,1.613,1.25672,0.73673,0.63618,0.69647,0.30962,1.79773,1.23398,1.28078,0.000665017,0.000665017,0.000665017
2,3908.08,1.91534,1.22878,1.23009,0.74464,0.65792,0.72235,0.34457,1.72655,1.16211,1.24864,0.00119985,0.00119985,0.00119985
3,5991.06,1.8652,1.14186,1.21586,0.75874,0.61054,0.7101,0.34178,1.69563,1.0694,1.22679,0.00160268,0.00160268,0.00160268
4,6945.02,1.81392,1.08576,1.19355,0.76613,0.65416,0.74011,0.36892,1.62694,1.01272,1.19214,0.001406,0.001406,0.001406
5,8447.72,1.77084,1.04056,1.17233,0.78663,0.70889,0.78264,0.37928,1.606,0.98452,1.17841,0.001208,0.001208,0.001208
6,8986.6,1.73157,0.99854,1.15967,0.82459,0.72021,0.79331,0.41637,1.53674,0.87816,1.15493,0.00101,0.00101,0.00101
7,9467.9,1.67093,0.95824,1.13051,0.8307,0.71027,0.80827,0.4386,1.45573,0.83263,1.12036,0.000812,0.000812,0.000812
8,9964.39,1.63627,0.92254,1.12013,0.84488,0.72677,0.81342,0.45111,1.42713,0.80848,1.10441,0.000614,0.000614,0.000614
9,10468.8,1.58961,0.89453,1.09873,0.84735,0.72896,0.81917,0.45904,1.39872,0.78374,1.1001,0.000416,0.000416,0.000416
10,10968.9,1.55283,0.86068,1.08695,0.84345,0.74138,0.82465,0.46739,1.37341,0.76116,1.0879,0.000218,0.000218,0.000218
